race_id,枠番,馬番,単勝ｵｯｽﾞ,人気,馬齢,斤量,距離,頭数,馬名,odds,prob,exp_roi
202544052205,8,12,25.5,9.0,3,51,1200,13,スモモノイモウト,25.5,0.03317816222030808,0.8460431366178561
202544052205,8,13,4.7,2.0,3,56,1200,13,ヘニングセン,4.7,0.17962613360963078,0.8442428279652647
202544052206,2,2,15.9,4.0,5,56,1600,12,タオスワン,15.9,0.04343953344978555,0.6906885818515903
202544052206,3,3,22.6,6.0,4,54,1600,12,ラヴレボーテ,22.6,0.035937271182933085,0.8121823287342878
202544052206,4,4,3.4,2.0,6,56,1600,12,バイアルド,3.4,0.21741864247459358,0.7392233844136181
202544052206,5,5,16.2,5.0,5,54,1600,12,テーオードリアン,16.2,0.04742588177592662,0.7682992847700112
202544052206,6,7,1.7,1.0,4,56,1600,12,イイデカンタロウ,1.7,0.45493203233980534,0.7733844549776691
202544052206,6,8,48.7,9.0,4,55,1600,12,シャンペートル,48.7,0.0164431458172907,0.8007812013020571
202544052206,7,10,23.1,7.0,7,56,1600,12,ハヴィティペイ,23.1,0.033160539503899106,0.7660084625400694
202544052206,8,11,29.4,8.0,4,56,1600,12,ラストフロンティア,29.4,0.03016176658459578,0.8867559375871159
202544052206,8,12,14.2,3.0,5,53,1600,12,ジョリーハーモニー,14.2,0.042652093571524156,0.605659728715643
202544052207,1,1,4.6,2.0,5,56,1200,12,ショウサンレックス,4.6,0.16776312428898288,0.7717103717293212
202544052207,3,3,1.9,1.0,6,53,1200,12,クチャモザクワジャ,1.9,0.38295017990502206,0.7276053418195418
202544052207,4,4,22.7,6.0,4,56,1200,12,ラインガーラ,22.7,0.03533182558358945,0.8020324407474805
202544052207,5,5,49.0,8.0,4,54,1200,12,キラナ,49.0,0.01305714905763778,0.6398003038242512
202544052207,6,8,7.3,4.0,6,56,1200,12,タカノドリーム,7.3,0.10112765788166568,0.7382319025361594
202544052207,7,9,16.5,5.0,7,56,1200,12,ウイングウインド,16.5,0.04468738125064857,0.7373417906357014
202544052207,7,10,5.2,3.0,4,54,1200,12,スマイルケイ,5.2,0.1617800872337675,0.841256453615591
202544052207,8,12,33.3,7.0,4,56,1200,12,シンプウハヤテ,33.3,0.026627188801293205,0.8866853870830637
202544052208,1,1,54.8,10.0,5,56,1600,12,グロリアスライン,54.8,0.015003962707035115,0.8222171563455243
202544052208,2,2,12.2,5.0,4,56,1600,12,ファーストフォルテ,12.2,0.07235131093028181,0.8826859933494381
202544052208,3,3,2.1,1.0,4,56,1600,12,キタノライジン,2.1,0.36700641857317273,0.7707134790036627
202544052208,4,4,4.3,2.0,4,54,1600,12,トランジェント,4.3,0.1747184371006271,0.7512892795326964
202544052208,5,6,16.2,6.0,5,56,1600,12,フレンドキング,16.2,0.05288180980525989,0.8566853188452102
202544052208,6,8,8.2,3.0,6,55,1600,12,バーストオブカラー,8.2,0.08990877981873144,0.7372519945135977
202544052208,7,9,8.6,4.0,4,56,1600,12,レジーナチェリ,8.6,0.1032938344596032,0.8883269763525875
202544052208,7,10,16.3,7.0,5,51,1600,12,ホクトブルース,16.3,0.054215255703064444,0.8837086679599505
202544052208,8,11,35.0,8.0,5,56,1600,12,グッドルックス,35.0,0.027315306115456885,0.956035714040991
202544052208,8,12,36.2,9.0,5,56,1600,12,ボニファシオ,36.2,0.02575840683431639,0.9324543274022534
202544052209,1,1,63.4,13.0,5,53,1200,16,タイセイエルフィン,63.4,0.010919409223224107,0.6922905447524084
202544052209,2,3,17.0,8.0,5,54,1200,16,スピリチュアル,17.0,0.049341198061343926,0.8388003670428468
202544052209,2,4,55.1,12.0,6,56,1200,16,サウンドキングダム,55.1,0.012635384654139622,0.6962096944430932
202544052209,3,5,16.6,7.0,5,53,1200,16,ヤマノリッチ,16.6,0.05179602281265325,0.859813978690044
202544052209,4,7,18.9,10.0,5,54,1200,16,アンフォラ,18.9,0.042683591495489816,0.8067198792647574
202544052209,4,8,76.8,15.0,5,56,1200,16,シンアルマトゥラ,76.8,0.01009982135637413,0.7756662801695332
202544052209,5,9,21.8,11.0,4,56,1200,16,ナックブレット,21.8,0.03620410460992902,0.7892494804964526
202544052209,5,10,17.7,9.0,4,56,1200,16,ジャズダンス,17.7,0.04760068168816528,0.8425320658805254
202544052209,6,11,15.1,6.0,4,54,1200,16,アシセバイラ,15.1,0.051448281263120454,0.7768690470731189
202544052209,6,12,2.3,1.0,4,54,1200,16,ユメゴテン,2.3,0.3315135421702057,0.762481146991473
202544052209,7,13,8.6,3.0,4,56,1200,16,パワーキングダム,8.6,0.0969552354124353,0.8338150245469435
202544052209,7,14,8.5,2.0,4,56,1200,16,ウィンザーバローズ,8.5,0.08996384063668884,0.7646926454118552
202544052209,8,15,10.5,4.0,5,54,1200,16,ティーズアイランド,10.5,0.07035821348543611,0.7387612415970791
202544052209,8,16,14.0,5.0,4,51,1200,16,ノイバラ,14.0,0.06168310814545901,0.8635635140364262
202544052210,1,1,42.1,10.0,8,54,1400,15,シザーハンズ,42.1,0.015725160012308555,0.6620292365181902
202544052210,2,2,5.2,1.0,5,56,1400,15,ドゥーロアバンティ,5.2,0.150653202175612,0.7833966513131825
202544052210,3,4,9.0,7.0,7,56,1400,15,マインジャラン,9.0,0.0781223509080927,0.7031011581728344
202544052210,3,5,5.9,3.0,4,56,1400,15,リトルビッグホーン,5.9,0.13863369768554085,0.817938816344691
202544052210,4,7,23.5,9.0,5,53,1400,15,ティーズアペックス,23.5,0.034586370381990375,0.8127797039767738
202544052210,5,9,17.3,8.0,5,54,1400,15,リコーアストラ,17.3,0.04805677948080016,0.8313822850178427
202544052210,6,10,6.5,5.0,6,56,1400,15,サイレントブラック,6.5,0.11738437916723103,0.7629984645870017
202544052210,7,13,6.3,4.0,6,56,1400,15,シャルマンジャン,6.3,0.11870174522966158,0.7478209949468679
202544052210,8,14,5.8,2.0,5,56,1400,15,ハニートースト,5.8,0.1421401440670781,0.8244128355890529
202544052210,8,15,7.9,6.0,4,56,1400,15,プレストアーサー,7.9,0.10777464147726575,0.8514196676703994
202544052211,1,1,20.8,9.0,6,57,1200,15,ドリームビリーバー,20.8,0.03276299840009311,0.6814703667219367
202544052211,2,2,16.6,4.0,6,57,1200,15,サクハル,16.6,0.0375971101860648,0.6241120290886757
202544052211,2,3,25.4,12.0,5,57,1200,15,ミズワリヲクダサイ,25.4,0.031998345913265974,0.8127579861969557
202544052211,3,4,17.1,6.0,5,55,1200,15,ヴィクラント,17.1,0.045137897708733526,0.7718580508193433
202544052211,3,5,17.3,7.0,6,55,1200,15,パウオレ,17.3,0.04416293476363434,0.764018771410874
202544052211,4,6,52.4,15.0,9,57,1200,15,レベルフォー,52.4,0.013476608079952547,0.7061742633895135
202544052211,4,7,26.1,13.0,4,57,1200,15,タイセイフェスタ,26.1,0.02732780099504837,0.7132556059707624
202544052211,5,8,18.1,8.0,4,57,1200,15,ヘルメース,18.1,0.04708953853070696,0.852320647405796
202544052211,5,9,3.9,2.0,5,57,1200,15,ルイス,3.9,0.19361300082591637,0.7550907032210739
202544052211,6,10,16.6,5.0,4,57,1200,15,カツラノキサノキ,16.6,0.04919731209455525,0.8166753807696172
202544052211,6,11,22.7,10.0,5,57,1200,15,ジェイエルバルカー,22.7,0.035692681540019054,0.8102238709584325
202544052211,7,12,22.8,11.0,5,55,1200,15,ベルシャンソン,22.8,0.03891818238841325,0.8873345584558221
202544052211,7,13,3.3,1.0,5,55,1200,15,オメガシンフォニー,3.3,0.22349578260944325,0.7375360826111627
202544052211,8,14,37.2,14.0,8,57,1200,15,ジャックオレンジ,37.2,0.017352917359433437,0.6455285257709239
202544052211,8,15,7.0,3.0,4,55,1200,15,モデルハント,7.0,0.11442979105552023,0.8010085373886416
202544052212,1,1,15.9,4.0,4,55,1650,14,レアリゼアンレーヴ,15.9,0.040892586954507926,0.6501921325766761
202544052212,2,2,40.3,6.0,7,55,1650,14,サンクスグランパ,40.3,0.014961612893238089,0.6029529995974949
202544052212,4,5,14.6,3.0,5,57,1650,14,サウンドズーム,14.6,0.04410083807591222,0.6438722359083183
202544052212,4,6,24.9,5.0,5,57,1650,14,アウトビアンキ,24.9,0.028325854602697556,0.7053137796071691
202544052212,5,7,1.1,1.0,4,57,1650,14,アイビーサムライオ,1.1,0.7279538751426642,0.8007492626569307
202544052212,6,9,63.7,7.0,4,57,1650,14,サウンドロックス,63.7,0.010156507081632307,0.646969501099978
202544052212,8,13,10.8,2.0,5,57,1650,14,ビルドラポール,10.8,0.0666009215381236,0.7192899526117349
202548052201,1,1,22.9,8.0,4,55,920,12,フークベルエ,22.9,0.031536712628062145,0.7221907191826231
202548052201,2,2,11.7,4.0,4,55,920,12,ビックピカンテ,11.7,0.06673203890357352,0.78076485517181
202548052201,3,3,22.0,7.0,5,57,920,12,ロコルルハーツ,22.0,0.03146615355093051,0.6922553781204713
202548052201,5,5,3.6,2.0,4,55,920,12,ブギーナイツ,3.6,0.22353293620307174,0.8047185703310583
202548052201,6,7,2.4,1.0,4,55,920,12,ドンタカーミ,2.4,0.32338579417496366,0.7761259060199127
202548052201,6,8,5.6,3.0,5,55,920,12,ティタン,5.6,0.1360691225418387,0.7619870862342967
202548052201,7,9,21.4,6.0,4,57,920,12,ヤモリアツマレ,21.4,0.034275267119974806,0.7334907163674608
202548052201,7,10,14.9,5.0,4,57,920,12,アルディオール,14.9,0.05377137420812217,0.8011934757010203
202548052201,8,11,32.6,10.0,4,55,920,12,ネムレスクイーン,32.6,0.06592316937162668,2.1490953215150297
202548052201,8,12,24.1,9.0,5,55,920,12,シルバーアッシュ,24.1,0.032627772338291436,0.7863293133528236
202548052202,2,2,54.6,9.0,3,57,1500,12,センノアバドン,54.6,0.013908515191098396,0.7594049294339724
202548052202,3,3,2.9,2.0,3,55,1500,12,サンライズアルズ,2.9,0.270198451844829,0.7835755103500041
202548052202,4,4,29.4,4.0,3,53,1500,12,ビップマリン,29.4,0.01366464740301873,0.4017406336487506
202548052202,5,5,1.8,1.0,3,55,1500,12,ボルダーオパール,1.8,0.41931793731069705,0.7547722871592547
202548052202,5,6,48.1,7.0,3,55,1500,12,ブラックラリア,48.1,0.01663846083948055,0.8003099663790144
202548052202,6,8,36.6,6.0,3,55,1500,12,パキラスイート,36.6,0.021077228770340708,0.7714265729944699
