1ｺｰﾅｰ,2ｺｰﾅｰ,3ｺｰﾅｰ,4ｺｰﾅｰ,グレード,タイム,データソース,トラック,上がり3F,人気,付加賞金,単勝ｵｯｽﾞ,場名,天候,年,性別,所属,斤量,日,月,本賞金,母,母父,毛色,水分,父,父父,生年,生産者,着順_num,競走名,競走条件,競走種別,競走記号,脚質,誕生月,調教師,距離,重量種別,頭数,馬主,馬体重,馬場状態,馬齢,騎手,Ｒ
,,,,,,,,,8.0,,24.6,,,,,,54,,,,,,,,,,,,,,,,,,,,1200,,13,,,,4,,
,,,,,,,,,10.0,,57.6,,,,,,56,,,,,,,,,,,,,,,,,,,,1200,,13,,,,7,,
,,,,,,,,,4.0,,5.2,,,,,,51,,,,,,,,,,,,,,,,,,,,1200,,13,,,,5,,
,,,,,,,,,9.0,,28.6,,,,,,54,,,,,,,,,,,,,,,,,,,,1200,,13,,,,6,,
,,,,,,,,,6.0,,22.5,,,,,,56,,,,,,,,,,,,,,,,,,,,1200,,13,,,,4,,
,,,,,,,,,11.0,,77.7,,,,,,53,,,,,,,,,,,,,,,,,,,,1200,,13,,,,4,,
,,,,,,,,,2.0,,3.6,,,,,,56,,,,,,,,,,,,,,,,,,,,1200,,13,,,,7,,
,,,,,,,,,12.0,,98.7,,,,,,56,,,,,,,,,,,,,,,,,,,,1200,,13,,,,4,,
,,,,,,,,,5.0,,19.0,,,,,,56,,,,,,,,,,,,,,,,,,,,1200,,13,,,,8,,
,,,,,,,,,3.0,,5.1,,,,,,56,,,,,,,,,,,,,,,,,,,,1200,,13,,,,5,,
,,,,,,,,,1.0,,3.1,,,,,,53,,,,,,,,,,,,,,,,,,,,1200,,13,,,,7,,
,,,,,,,,,13.0,,99.6,,,,,,54,,,,,,,,,,,,,,,,,,,,1200,,13,,,,5,,
,,,,,,,,,1.0,,2.1,,,,,,56,,,,,,,,,,,,,,,,,,,,1600,,11,,,,3,,
,,,,,,,,,10.0,,58.3,,,,,,56,,,,,,,,,,,,,,,,,,,,1600,,11,,,,3,,
,,,,,,,,,8.0,,50.6,,,,,,56,,,,,,,,,,,,,,,,,,,,1600,,11,,,,3,,
,,,,,,,,,5.0,,13.6,,,,,,56,,,,,,,,,,,,,,,,,,,,1600,,11,,,,3,,
,,,,,,,,,4.0,,6.9,,,,,,54,,,,,,,,,,,,,,,,,,,,1600,,11,,,,3,,
,,,,,,,,,7.0,,37.6,,,,,,54,,,,,,,,,,,,,,,,,,,,1600,,11,,,,3,,
,,,,,,,,,9.0,,52.4,,,,,,56,,,,,,,,,,,,,,,,,,,,1600,,11,,,,3,,
,,,,,,,,,3.0,,6.1,,,,,,56,,,,,,,,,,,,,,,,,,,,1600,,11,,,,3,,
,,,,,,,,,2.0,,4.5,,,,,,56,,,,,,,,,,,,,,,,,,,,1600,,11,,,,3,,
,,,,,,,,,11.0,,69.6,,,,,,56,,,,,,,,,,,,,,,,,,,,1600,,11,,,,3,,
,,,,,,,,,6.0,,15.0,,,,,,54,,,,,,,,,,,,,,,,,,,,1600,,11,,,,3,,
,,,,,,,,,11.0,,160.6,,,,,,54,,,,,,,,,,,,,,,,,,,,1400,,14,,,,3,,
,,,,,,,,,13.0,,209.3,,,,,,56,,,,,,,,,,,,,,,,,,,,1400,,14,,,,3,,
,,,,,,,,,8.0,,38.6,,,,,,56,,,,,,,,,,,,,,,,,,,,1400,,14,,,,3,,
,,,,,,,,,7.0,,29.8,,,,,,54,,,,,,,,,,,,,,,,,,,,1400,,14,,,,3,,
,,,,,,,,,2.0,,4.3,,,,,,56,,,,,,,,,,,,,,,,,,,,1400,,14,,,,3,,
,,,,,,,,,6.0,,19.4,,,,,,56,,,,,,,,,,,,,,,,,,,,1400,,14,,,,3,,
,,,,,,,,,14.0,,256.2,,,,,,54,,,,,,,,,,,,,,,,,,,,1400,,14,,,,3,,
,,,,,,,,,1.0,,2.0,,,,,,56,,,,,,,,,,,,,,,,,,,,1400,,14,,,,3,,
,,,,,,,,,4.0,,9.6,,,,,,56,,,,,,,,,,,,,,,,,,,,1400,,14,,,,3,,
,,,,,,,,,9.0,,66.6,,,,,,56,,,,,,,,,,,,,,,,,,,,1400,,14,,,,3,,
,,,,,,,,,12.0,,196.0,,,,,,56,,,,,,,,,,,,,,,,,,,,1400,,14,,,,3,,
,,,,,,,,,5.0,,14.6,,,,,,56,,,,,,,,,,,,,,,,,,,,1400,,14,,,,3,,
,,,,,,,,,10.0,,153.7,,,,,,54,,,,,,,,,,,,,,,,,,,,1400,,14,,,,3,,
,,,,,,,,,3.0,,5.0,,,,,,56,,,,,,,,,,,,,,,,,,,,1400,,14,,,,3,,
,,,,,,,,,13.0,,274.8,,,,,,56,,,,,,,,,,,,,,,,,,,,1200,,13,,,,3,,
,,,,,,,,,6.0,,8.1,,,,,,54,,,,,,,,,,,,,,,,,,,,1200,,13,,,,3,,
,,,,,,,,,3.0,,5.6,,,,,,54,,,,,,,,,,,,,,,,,,,,1200,,13,,,,3,,
,,,,,,,,,8.0,,19.9,,,,,,56,,,,,,,,,,,,,,,,,,,,1200,,13,,,,3,,
,,,,,,,,,11.0,,58.2,,,,,,54,,,,,,,,,,,,,,,,,,,,1200,,13,,,,3,,
,,,,,,,,,10.0,,31.2,,,,,,56,,,,,,,,,,,,,,,,,,,,1200,,13,,,,3,,
,,,,,,,,,7.0,,18.5,,,,,,56,,,,,,,,,,,,,,,,,,,,1200,,13,,,,3,,
,,,,,,,,,4.0,,6.3,,,,,,56,,,,,,,,,,,,,,,,,,,,1200,,13,,,,3,,
,,,,,,,,,1.0,,4.5,,,,,,56,,,,,,,,,,,,,,,,,,,,1200,,13,,,,3,,
